pull_id,pull_no,title,body
416490428,8856,b'RavenDB-13004: Copy also .so and .dylib libraries on embedded tests',b''
416426012,8855,b'RavenDB-13001 fixing test',b''
416424441,8854,b'4.1 to 4.2 merge',b''
416422156,8853,b'RavenDB-7070 updated packages',b''
416420129,8852,"b'RavenDB-7070 do not use ITestOutputHelper, it only displays results a\xe2\x80\xa6'","b'\xe2\x80\xa6fter test failure or success, not when it hangs'"
416390657,8851,"b'RavenDB-7070 do not use ITestOutputHelper, it only displays results after test failure or success, not when it hangs'",b''
416383405,8850,b'RavenDB-13000 subscriptions are spinning on import screen',b''
416380457,8849,b'RavenDB-12988 issues when comparing revisions with delete revisions',b''
416376980,8848,b'RavenDB-12204 Unskipping test',b''
416375247,8847,b'RavenDB-12991 automatically click add url button in connection string\xe2\x80\xa6',b'\xe2\x80\xa6 screen'
416373854,8846,b'RavenDB-12987 monitoring -f throws when no data on graph',b''
416373211,8845,b'RavenDB-12990 update title on database record',b''
416372911,8844,b'RavenDB-12997 compact on disabled database has no action',b''
416289396,8843,b'RavenDB-12998 update text in delete database screen',b''
416285366,8842,b'RavenDB-12996 add missing title tags on databases page',b''
416236432,8841,b'4.1 to 4.2 merge',b''
416197192,8840,b'RavenDB-12985 support for paging in patching and deleting operations',b''
416131913,8839,b'RavenDB-12992 we need to use token with timeout',b''
416105424,8838,b'RavenDB-12981 fixed test',b''
416075539,8837,b'RavenDB-12811 dashboard updates for non cluster admin operators',b''
416038691,8836,b'RavenDB-12979 Fixing tests which stated to fail after reducing the in\xe2\x80\xa6',b'\xe2\x80\xa6itial allocation size on 32 bits - https://github.com/ravendb/ravendb/commit/9f796f4725d90b0d5c65a03b3d39a01e0c2c4f37'
416031704,8835,b'Raven db 12939',b''
416030120,8834,b'RavenDB-12982 Missing escaping of attachment name when getting attach\xe2\x80\xa6',b'\xe2\x80\xa6ment'
416024983,8833,b'RavenDB-12980 Fixing failing test on 32 bits. It started to fail due \xe2\x80\xa6',b'\xe2\x80\xa6to changes in https://github.com/ravendb/ravendb/commit/9f796f4725d90b0d5c65a03b3d39a01e0c2c4f37'
416007086,8832,b'RavenDB-12937 Data race in License manager -> renew license',b''
415982671,8831,b'Raven db 12907 + RavenDB-12924',b''
415971524,8830,b'Raven db 12955',b''
415733450,8829,b'RavenDB-12027 Have dedicated threads for backups',b''
415687442,8828,b' RavenDB-11139: Add incremental backup of Compare Exchange And Identities.',b''
